"PLAY..","DN","DIST","PLAY.TYPE","RESULT","GN.LS","ODK","YARD.LN","OFF.FORM","OFF.PLAY","DEF.FRONT","BLITZ","COVERAGE","QTR","H","PERSONNEL","MOTION","COMMENT","TITLE","CHECK","SITUATION","BACKFIELD","PROTECTION","ScoreAway","ScoreAway2.0","ScoreHome","ScoreHome2.0","Ball","drive","drive_length","drive_count","year","home_team","away_team","game_ID"
113,2,1,"Run","Rush, TD",1,"D",-1,NA,NA,"OVER","PINCH","WHITE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,32,-18,14,"Away",0,10,18,2024,"Dickinson","Macon","DickinsonMacon2024"
114,0,NA,"Extra Pt. Block","Good",NA,"K",-3,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,11,18,2024,"Dickinson","Macon","DickinsonMacon2024"
115,0,NA,"KO Rec","Return",NA,"K",35,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",1,1,19,2024,"Dickinson","Macon","DickinsonMacon2024"
116,1,10,"Run","Rush",-1,"O",15,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",0,2,19,2024,"Dickinson","Macon","DickinsonMacon2024"
117,2,9,"Pass","Complete",-7,"O",16,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",0,3,19,2024,"Dickinson","Macon","DickinsonMacon2024"
118,3,2,"Run","Rush",10,"O",23,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",0,4,19,2024,"Dickinson","Macon","DickinsonMacon2024"
119,3,12,"Pass","Incomplete",0,"O",13,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",0,5,19,2024,"Dickinson","Macon","DickinsonMacon2024"
120,4,12,"Punt","Penalty",NA,"K",13,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Home",0,6,19,2024,"Dickinson","Macon","DickinsonMacon2024"
121,4,17,"Punt","Return",NA,"K",8,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",1,1,20,2024,"Dickinson","Macon","DickinsonMacon2024"
122,1,10,"Run","Rush",5,"D",-43,NA,NA,"BEAR","CROSS","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,2,20,2024,"Dickinson","Macon","DickinsonMacon2024"
123,2,5,"Run","Rush",2,"D",-38,NA,NA,"","TILT PYTHON","BIRD",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,3,20,2024,"Dickinson","Macon","DickinsonMacon2024"
124,3,3,"Run","Rush",1,"D",-36,NA,NA,"PACKER","FLORIDA","BROWN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,4,20,2024,"Dickinson","Macon","DickinsonMacon2024"
125,4,2,"Pass","Scramble",NA,"D",-35,NA,NA,"PACKER","CROSS","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,5,20,2024,"Dickinson","Macon","DickinsonMacon2024"
126,1,10,"Run","Rush",7,"D",-24,NA,NA,"BEAR","CROSS","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,6,20,2024,"Dickinson","Macon","DickinsonMacon2024"
128,2,3,"Run","Rush",2,"D",-17,NA,NA,"","TILT PYTHON","BIRD",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,7,20,2024,"Dickinson","Macon","DickinsonMacon2024"
129,3,1,"Run","Rush",8,"D",-15,NA,NA,"BEAR","CRASH","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,8,20,2024,"Dickinson","Macon","DickinsonMacon2024"
130,1,7,"Run","Rush",NA,"D",-7,NA,NA,"OVER","","WHITE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,33,-19,14,"Away",0,9,20,2024,"Dickinson","Macon","DickinsonMacon2024"
131,NA,NA,"Extra Pt. Block","Good",NA,"K",NA,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Away",0,10,20,2024,"Dickinson","Macon","DickinsonMacon2024"
132,0,NA,"KO Rec","Penalty",NA,"K",35,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",1,1,21,2024,"Dickinson","Macon","DickinsonMacon2024"
133,1,10,"Pass","Complete",-6,"O",35,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,2,21,2024,"Dickinson","Macon","DickinsonMacon2024"
134,2,4,"Pass","Complete",-37,"O",41,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,3,21,2024,"Dickinson","Macon","DickinsonMacon2024"
135,1,10,"Pass","Complete",-9,"O",-22,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,4,21,2024,"Dickinson","Macon","DickinsonMacon2024"
136,2,1,"Pass","Incomplete",0,"O",-13,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,5,21,2024,"Dickinson","Macon","DickinsonMacon2024"
137,3,1,"Run","Rush",-3,"O",-13,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,6,21,2024,"Dickinson","Macon","DickinsonMacon2024"
138,1,10,"Pass","Penalty",0,"O",-10,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,7,21,2024,"Dickinson","Macon","DickinsonMacon2024"
139,1,3,"Run","Rush",-2,"O",-3,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,34,-20,14,"Home",0,8,21,2024,"Dickinson","Macon","DickinsonMacon2024"
140,2,1,"Run","Rush, TD",-1,"O",-1,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,34,-14,20,"Home",0,9,21,2024,"Dickinson","Macon","DickinsonMacon2024"
141,0,NA,"Extra Pt.","Good",NA,"K",-3,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Home",0,10,21,2024,"Dickinson","Macon","DickinsonMacon2024"
142,0,NA,"KO","Penalty",NA,"K",35,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Away",1,1,22,2024,"Dickinson","Macon","DickinsonMacon2024"
143,1,10,"Run","Rush",0,"D",-37,NA,NA,"TITAN","CANE","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Away",0,2,22,2024,"Dickinson","Macon","DickinsonMacon2024"
144,2,10,"Run","Rush",8,"D",-37,NA,NA,"TITAN","CANE","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Away",0,3,22,2024,"Dickinson","Macon","DickinsonMacon2024"
145,3,2,"Run","Rush",28,"D",-29,NA,NA,"TITAN","CANE","GREEN",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Away",0,4,22,2024,"Dickinson","Macon","DickinsonMacon2024"
146,1,1,"Run","Rush",-3,"D",-1,NA,NA,"OVER","","WHITE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,-13,21,"Away",0,5,22,2024,"Dickinson","Macon","DickinsonMacon2024"
147,2,4,"Run","Rush, TD",4,"D",-4,NA,NA,"OVER","","WHITE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,40,-19,21,"Away",0,6,22,2024,"Dickinson","Macon","DickinsonMacon2024"
148,0,NA,"Extra Pt. Block","Good",NA,"K",-3,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Away",0,7,22,2024,"Dickinson","Macon","DickinsonMacon2024"
149,0,NA,"KO Rec","Return",NA,"K",35,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",1,1,23,2024,"Dickinson","Macon","DickinsonMacon2024"
150,1,10,"Pass","Incomplete",0,"O",25,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,2,23,2024,"Dickinson","Macon","DickinsonMacon2024"
151,2,10,"Pass","Complete",-9,"O",25,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,3,23,2024,"Dickinson","Macon","DickinsonMacon2024"
152,3,1,"Pass","Incomplete",0,"O",34,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,4,23,2024,"Dickinson","Macon","DickinsonMacon2024"
153,4,1,"Run","Rush",NA,"O",34,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,5,23,2024,"Dickinson","Macon","DickinsonMacon2024"
154,1,10,"Pass","Incomplete",0,"O",37,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,6,23,2024,"Dickinson","Macon","DickinsonMacon2024"
155,2,10,"Pass","Incomplete",0,"O",37,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,7,23,2024,"Dickinson","Macon","DickinsonMacon2024"
156,3,10,"Pass","Complete",-7,"O",37,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,8,23,2024,"Dickinson","Macon","DickinsonMacon2024"
158,4,8,"Pass","Scramble",NA,"O",39,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,9,23,2024,"Dickinson","Macon","DickinsonMacon2024"
159,1,10,"Pass","Incomplete",0,"O",-48,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,10,23,2024,"Dickinson","Macon","DickinsonMacon2024"
160,2,10,"Pass","Incomplete",0,"O",-48,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,11,23,2024,"Dickinson","Macon","DickinsonMacon2024"
161,3,10,"Pass","Complete",-18,"O",-48,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,12,23,2024,"Dickinson","Macon","DickinsonMacon2024"
162,1,10,"Pass","Complete",-9,"O",-30,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,13,23,2024,"Dickinson","Macon","DickinsonMacon2024"
163,2,1,"Pass","Penalty",-16,"O",-21,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,14,23,2024,"Dickinson","Macon","DickinsonMacon2024"
164,1,5,"Pass","Incomplete",0,"O",-5,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,15,23,2024,"Dickinson","Macon","DickinsonMacon2024"
165,2,5,"Pass","Complete",NA,"O",-5,NA,NA,"","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,41,-20,21,"Home",0,16,23,2024,"Dickinson","Macon","DickinsonMacon2024"
2,1,NA,"KO","Return",NA,"K",NA,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"",0,1,0,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
3,1,10,"Pass","Complete",4,"D",NA,"","","TITAN","BLAST","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",1,1,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
4,2,6,"Pass","Complete",16,"D",NA,"","","BEAR","FLORIDA","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,2,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
5,1,10,"Run","Rush",1,"D",NA,"","","BEAR","","RED",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,3,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
6,2,9,"Pass","Complete",10,"D",NA,"","","ODD","TAC FISH TWIST","EAGLE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,4,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
7,1,10,"Run","Rush",1,"D",NA,"","","TITAN","KNIFE","BROWN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,5,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
8,2,9,"Run","Rush",-1,"D",NA,"","","BEAR","","RED",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,6,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
9,3,10,"Pass","Incomplete",0,"D",NA,"","","JET","SPRITE","MOE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,7,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
10,4,10,"Punt Rec","Fair Catch",NA,"K",NA,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,8,1,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
11,0,10,"Run","Rush",-3,"O",8,"TRIO LT WING","COLT","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",1,1,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
12,2,7,"Pass","Complete",-9,"O",11,"WING RT","OKIE CAROLINA","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,2,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
13,1,10,"Run","Rush",-3,"O",20,"ACE RT","RODEO ARC","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,3,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
14,2,7,"Pass","Complete",-5,"O",23,"WIDE RT HAP","PANTHER CHOKE","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,4,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
15,3,2,"Run","Rush",-3,"O",28,"BLAST LT WING","IRISH","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,5,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
16,1,10,"Run","Rush",-3,"O",31,"TRIO RT WING SHUFFLE","RODEO","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,6,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
17,2,7,"Pass","Complete",-41,"O",34,"ACE RT","DICKEM","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,7,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
18,1,10,"Run","Rush",-12,"O",-25,"TRUMP TRAY RT FAST","RAIN RT","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,8,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
19,1,10,"Pass","Complete, TD",-13,"O",-13,"TRUMP TRAY RT FAST","DBL RAIN","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,0,6,6,"Home",0,9,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
20,0,10,"Extra Pt.","Good",NA,"K",-3,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,10,2,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
21,0,NA,"KO","Return",NA,"K",35,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",1,1,3,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
22,1,10,"Run","Rush",0,"D",NA,"","","BEAR","","NAVY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,2,3,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
23,2,10,"Pass","Complete",2,"D",NA,"","","ODD","CANE","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,3,3,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
24,3,8,"Pass","Incomplete",0,"D",NA,"","","ODD","TILT SLASH","BIRD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,4,3,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
25,4,8,"Punt Rec","Fair Catch",NA,"K",NA,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,5,3,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
26,0,10,"Pass","Incomplete",0,"O",33,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",1,1,4,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
27,2,10,"Run","Rush",-2,"O",33,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,2,4,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
28,3,8,"Pass","Incomplete",0,"O",35,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,3,4,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
29,4,8,"Punt","",NA,"K",35,"","","","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,4,4,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
45,NA,NA,"Punt Rec","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,5,4,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
50,1,10,"Run","Rush",-2,"O",42,"SLOT RT","OTTER","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",1,1,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
54,4,19,"Punt","",NA,"K",33,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,2,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
59,NA,NA,"Punt Rec","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,3,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
70,0,NA,"Extra Pt.","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,4,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
71,0,NA,"KO","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,5,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
76,4,14,"Punt Rec","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,6,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
77,4,14,"Punt Rec","",NA,"K",NA,"","","","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,7,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
81,NA,NA,"KO Rec","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,8,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
85,4,2,"Punt","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,9,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
86,1,10,"Punt","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,10,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
87,1,10,"Punt","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,11,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
88,1,10,"Punt","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,12,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
89,1,10,"Punt","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,13,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
104,4,22,"Punt Rec","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,14,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
114,0,NA,"Extra Pt.","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,15,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
115,0,NA,"KO","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,16,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
121,4,22,"Punt Rec","",NA,"K",NA,"","","","","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,17,5,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
131,3,34,"Pass","Complete",-19,"O",-44,"WIDE RT","","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",1,1,6,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
132,NA,NA,"FG","",NA,"K",NA,"","","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,2,6,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
133,NA,NA,"KO","",NA,"K",NA,"","","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Away",0,3,6,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
140,4,7,"Punt Rec","",NA,"K",NA,"","","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",1,1,7,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
145,1,10,"Pass","Complete",-6,"O",47,"OUT LT","ORCA","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,2,7,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
149,3,4,"Run","Rush",-2,"O",-35,"ACE RT HAP`","CATHOLIC","","","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,0,7,7,"Home",0,3,7,2024,"WilliamPaterson","Dickinson","WilliamPatersonDickinson2024"
